Index,IndexSpec,Filename,Date,NumPeaks,Detection,Multiple
0,0,2015.02.19_00.01.22.wav,2015.02.19,1,1,1
1,1,2015.02.19_00.01.22.wav,2015.02.19,0,0,0
2,2,2015.02.19_00.01.22.wav,2015.02.19,0,0,0
3,3,2015.02.19_00.01.22.wav,2015.02.19,0,0,0
4,4,2015.02.19_00.01.22.wav,2015.02.19,0,0,0
5,5,2015.02.19_00.01.22.wav,2015.02.19,1,1,1
6,6,2015.02.19_00.01.22.wav,2015.02.19,1,1,1
7,7,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
8,8,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
9,9,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
10,10,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
11,11,2015.02.19_00.01.22.wav,2015.02.19,1,1,1
12,12,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
13,13,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
14,14,2015.02.19_00.01.22.wav,2015.02.19,2,1,1
15,15,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
16,16,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
17,17,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
18,18,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
19,19,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
20,20,2015.02.19_00.16.24.wav,2015.02.19,2,1,1
21,21,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
22,22,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
23,23,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
24,24,2015.02.19_00.16.24.wav,2015.02.19,1,1,1
25,25,2015.02.19_00.16.24.wav,2015.02.19,0,0,0
26,26,2015.02.19_00.16.24.wav,2015.02.19,0,0,0
27,27,2015.02.19_00.16.24.wav,2015.02.19,0,0,0
28,28,2015.02.19_00.16.24.wav,2015.02.19,0,0,0
29,29,2015.02.19_00.16.24.wav,2015.02.19,0,0,0
30,30,2015.02.19_00.31.26.wav,2015.02.19,0,0,0
31,31,2015.02.19_00.31.26.wav,2015.02.19,0,0,0
32,32,2015.02.19_00.31.26.wav,2015.02.19,0,0,0
33,33,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
34,34,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
35,35,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
36,36,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
37,37,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
38,38,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
39,39,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
40,40,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
41,41,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
42,42,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
43,43,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
44,44,2015.02.19_00.31.26.wav,2015.02.19,1,1,1
45,45,2015.02.19_00.46.30.wav,2015.02.19,1,1,1
46,46,2015.02.19_00.46.30.wav,2015.02.19,1,1,1
47,47,2015.02.19_00.46.30.wav,2015.02.19,1,1,1
48,48,2015.02.19_00.46.30.wav,2015.02.19,1,1,1
49,49,2015.02.19_00.46.30.wav,2015.02.19,1,1,1
50,50,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
51,51,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
52,52,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
53,53,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
54,54,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
55,55,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
56,56,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
57,57,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
58,58,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
59,59,2015.02.19_00.46.30.wav,2015.02.19,0,0,0
60,60,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
61,61,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
62,62,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
63,63,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
64,64,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
65,65,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
66,66,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
67,67,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
68,68,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
69,69,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
70,70,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
71,71,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
72,72,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
73,73,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
74,74,2015.02.19_01.01.35.wav,2015.02.19,0,0,0
75,75,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
76,76,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
77,77,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
78,78,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
79,79,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
80,80,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
81,81,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
82,82,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
83,83,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
84,84,2015.02.19_01.16.37.wav,2015.02.19,0,0,0
